54768,-6208,1568,14448,321,59,184,-8644,1632,13924,96,-17,57

54778,-6140,1684,14224,354,37,203,-8508,1684,13960,100,-6,80

54788,-6264,1744,14500,346,36,217,-8636,1736,13832,91,-27,75

54798,-6112,1728,14192,357,29,206,-8508,1768,13792,77,-39,68

54808,-6112,1796,14136,368,33,222,-8492,1936,13788,104,-31,76

54818,-6020,1816,14140,343,42,187,-8400,1776,13732,70,-35,47

54828,-6092,1820,14176,303,91,158,-8436,1816,13836,57,20,25

54838,-5960,1940,14240,259,139,129,-8328,1952,13664,7,76,-11

54848,-6096,1892,14320,175,124,49,-8372,1828,13764,-40,67,-74

54858,-6252,1988,14248,116,135,52,-8632,1900,13760,-91,71,-110

54868,-6192,1804,14244,128,140,31,-8648,1884,13900,-98,65,-120

54878,-6176,1728,14312,129,124,1,-8488,1780,13768,-112,90,-138

54888,-6196,1656,14544,113,125,28,-8608,1780,13724,-134,68,-138

54898,-6200,1632,14484,134,104,47,-8552,1724,13884,-123,33,-126

54908,-6088,1740,14396,142,69,44,-8648,1784,13920,-106,18,-89

54918,-6136,1876,14184,122,78,51,-8484,1772,13956,-139,34,-117

54928,-6188,1688,14268,119,79,44,-8608,1844,13900,-94,-8,-86

54938,-6148,1736,14392,132,40,69,-8532,1720,13908,-119,-7,-85

54948,-6216,1688,14432,122,42,55,-8592,1756,13756,-133,-33,-86

54958,-6180,1744,14048,103,12,69,-8508,1796,13872,-128,-21,-81

54968,-6096,1836,14296,93,15,50,-8480,1744,13796,-140,-36,-85

54978,-6144,1796,14204,44,15,20,-8512,1784,13604,-180,-73,-135

54988,-6080,1772,14248,50,7,18,-8472,1816,13824,-202,-97,-118

54998,-6052,1744,14264,12,11,25,-8552,1836,13740,-207,-74,-121

55008,-6348,1784,14316,17,-45,2,-8580,1720,13872,-226,-87,-105

55018,-6148,1644,14168,35,-63,32,-8548,1700,13816,-204,-118,-111

55028,-6204,1724,14188,35,-69,46,-8560,1760,13776,-194,-136,-90

55038,-6300,1736,14272,50,-106,44,-8708,1648,13908,-195,-194,-83

55048,-6212,1760,14112,62,-141,73,-8568,1748,13924,-167,-201,-88

55058,-6188,1732,14268,54,-173,91,-8592,1744,13924,-183,-225,-75

55068,-6092,1744,14204,46,-155,93,-8528,1720,14016,-198,-232,-65

55078,-6068,1748,14376,54,-162,47,-8536,1804,13804,-199,-226,-67

55088,-6128,1668,14376,51,-174,76,-8540,1656,13928,-186,-240,-74

55098,-6200,1680,14440,66,-188,100,-8552,1696,14052,-173,-234,-100

55108,-6260,1768,14408,89,-171,90,-8500,1656,13936,-156,-239,-54

55118,-6192,1712,14332,86,-193,92,-8556,1740,13832,-147,-252,-38

55128,-6156,1676,14316,72,-178,83,-8492,1664,13860,-140,-263,-9

55138,-6116,1672,14352,105,-226,108,-8548,1680,13968,-144,-275,-28

55148,-6100,1664,14460,132,-228,171,-8460,1748,14016,-113,-269,11

55158,-6216,1720,14384,156,-239,159,-8560,1832,13832,-107,-297,30

55168,-6116,1760,14328,131,-233,143,-8452,1716,14060,-130,-260,5

55178,-6168,1808,14240,138,-199,168,-8572,1716,13968,-95,-264,38

55188,-6164,1604,14524,151,-173,150,-8460,1608,14112,-94,-211,49

55198,-5976,1688,14440,176,-192,151,-8352,1812,14032,-99,-258,41

